city,lat,long,max_temp,humidity,cloudiness,wind_spd,country,date
Timrå,62.49,17.33,276.48,93,0,3.1,SE,1604034070
Jiexiu,37.02,111.91,288.31,42,0,1.38,CN,1604034070
Esperance,-33.87,121.9,299.15,22,87,5.7,AU,1604034070
Bluff,-46.6,168.33,288.71,92,100,1.79,NZ,1604034070
Vaijāpur,19.92,74.73,299.73,40,0,1.47,IN,1604034070
Makat,47.65,53.35,281.54,54,17,9.68,KZ,1604034071
Punta Arenas,-53.15,-70.92,281.15,70,75,9.3,CL,1604034071
Saint-Philippe,-21.36,55.77,296.15,56,75,10.3,RE,1604034071
Sapouy,11.55,-1.77,296.03,29,0,1.2,BF,1604034071
Necochea,-38.55,-58.74,275.93,89,0,1.79,AR,1604034072
Cabo San Lucas,22.89,-109.91,294.15,73,5,5.1,MX,1604033872
Felipe Carrillo Puerto,19.58,-88.05,296.29,98,13,1.25,MX,1604034072
Mataura,-46.19,168.86,288.71,92,100,1.79,NZ,1604034072
Neryungri,56.67,124.65,268.22,94,96,0.15,RU,1604034072
Hobart,-42.88,147.33,290.37,67,75,8.2,AU,1604034023
Patacamaya,-17.23,-67.92,279.91,82,30,3.51,BO,1604034073
Hermanus,-34.42,19.23,282.04,83,49,0.45,ZA,1604034073
Verkhoyansk,67.54,133.38,255.18,91,92,0.45,RU,1604034073
Petropavlovsk-Kamchatskiy,53.05,158.65,280.15,70,85,2.0,RU,1604034074
Acajutla,13.59,-89.83,294.26,100,99,2.06,SV,1604033927
Butaritari,3.07,172.79,301.13,76,29,5.33,KI,1604034074
Somerset East,-32.72,25.59,282.22,79,100,4.47,ZA,1604034075
George Town,5.41,100.34,305.15,62,20,2.1,MY,1604033931
Cape Town,-33.93,18.42,284.82,81,0,1.5,ZA,1604034388
Bariloche,-41.15,-71.31,282.04,56,0,3.1,AR,1604034026
Albany,42.6,-73.97,278.15,89,100,4.16,US,1604033747
Coos Bay,43.37,-124.22,282.15,100,40,3.1,US,1604034075
Busselton,-33.65,115.33,304.82,21,0,1.86,AU,1604034076
Aykhal,66.0,111.5,254.64,91,81,1.05,RU,1604034076
Biloela,-24.42,150.5,305.66,25,0,6.32,AU,1604034009
Debre Tabor,11.85,38.02,286.22,58,2,1.38,ET,1604034076
Tessalit,20.2,1.01,295.33,20,0,3.28,ML,1604034076
Ponta do Sol,32.67,-17.1,293.15,72,20,5.1,PT,1604034077
Ushuaia,-54.8,-68.3,279.15,81,90,5.1,AR,1604034077
Thompson,55.74,-97.86,267.65,97,90,4.23,CA,1604033838
